scalar,lr,drop,accuracy
2.0,0.001,0.03,0.6996662958843158
2.0,0.003,0.03,0.8266358463726885
2.0,0.004,0.02,0.7514665711342976
2.0,0.004,0.01,0.8196071444479087
2.0,0.004,0.04,0.7250733137829912
2.0,0.004,0.03,0.7731720334460062
2.0,0.003,0.01,0.7857142857142857
2.0,0.003,0.04,0.7294372294372296
2.0,0.003,0.02,0.7999644381223328
2.0,0.002,0.02,0.7514665711342976
2.0,0.002,0.01,0.8059681520139168
2.0,0.002,0.04,0.7665732959850606
2.0,0.002,0.03,0.8133001422475107
2.0,0.001,0.02,0.7866287339971552
2.0,0.001,0.01,0.7857142857142857
2.0,0.001,0.04,0.7865148550080057
1.5,0.002,0.02,0.8125
1.5,0.004,0.02,0.8066580736921641
1.5,0.004,0.04,0.7788104919790875
1.5,0.004,0.03,0.7982424677187947
1.5,0.003,0.02,0.8332666399893291
1.5,0.003,0.01,0.7842114727566984
1.5,0.003,0.04,0.7514665711342976
1.5,0.003,0.03,0.793250633586768
1.5,0.004,0.01,0.7731720334460062
1.5,0.002,0.01,0.738594217793467
1.5,0.002,0.03,0.7593153859868069
1.5,0.001,0.02,0.753322369883106
1.5,0.001,0.01,0.7398959583833533
1.5,0.001,0.04,0.7664071190211346
1.5,0.001,0.03,0.7795198432141107
1.5,0.002,0.04,0.7866666666666666
1.3,0.002,0.02,0.7731720334460062
1.3,0.004,0.02,0.7976982557094048
1.3,0.004,0.01,0.7707246898039921
1.3,0.004,0.04,0.8392857142857144
1.3,0.004,0.03,0.8251434720229556
1.3,0.003,0.01,0.8000000000000002
1.3,0.003,0.04,0.7883573801829684
1.3,0.003,0.03,0.7783350499305897
1.3,0.003,0.02,0.8199279711884755
1.3,0.002,0.01,0.8197997775305895
1.3,0.002,0.03,0.8133001422475107
1.3,0.001,0.02,0.7527949757249119
1.3,0.001,0.01,0.7999644381223328
1.3,0.001,0.04,0.8199919996444286
1.3,0.001,0.03,0.79288227695871
1.3,0.002,0.04,0.7998576765700054
1.1,0.002,0.01,0.7991071428571428
1.1,0.004,0.03,0.7835497835497836
1.1,0.003,0.02,0.8059681520139168
1.1,0.003,0.01,0.8235294117647058
1.1,0.003,0.04,0.8329695781925082
1.1,0.003,0.03,0.8199279711884755
1.1,0.002,0.02,0.7999644381223328
1.1,0.001,0.02,0.7996794871794872
1.1,0.002,0.04,0.7852925389157274
1.1,0.002,0.03,0.7922159167076277
1.1,0.001,0.01,0.7598292118840064
1.1,0.001,0.04,0.7931034482758621
1.1,0.001,0.03,0.8066580736921641
1.1,0.004,0.01,0.732905982905983
1.1,0.004,0.04,0.8331479421579533
1.1,0.004,0.02,0.765823631740934
1.0,0.003,0.02,0.7578909612625537
1.0,0.003,0.04,0.805203528726882
1.0,0.001,0.03,0.779205138498595
1.0,0.004,0.02,0.7596153846153846
1.0,0.004,0.01,0.8331479421579533
1.0,0.004,0.04,0.8066580736921641
1.0,0.004,0.03,0.7998576765700054
1.0,0.003,0.01,0.7999644381223328
1.0,0.003,0.03,0.8047138047138047
1.0,0.002,0.02,0.7200855673387647
1.0,0.002,0.01,0.8399999999999999
1.0,0.002,0.04,0.7589285714285714
1.0,0.002,0.03,0.7865148550080057
1.0,0.001,0.02,0.7933241477398996
1.0,0.001,0.01,0.7584541062801933
1.0,0.001,0.04,0.8265433196940046
0.9,0.004,0.03,0.7649008105324437
0.9,0.003,0.04,0.7144714239286876
0.9,0.003,0.02,0.8196071444479087
0.9,0.004,0.02,0.7333333333333333
0.9,0.004,0.04,0.7514665711342976
0.9,0.004,0.01,0.7987117552334944
0.9,0.002,0.02,0.8066580736921641
0.9,0.003,0.03,0.7260701082357133
0.9,0.003,0.01,0.7931034482758621
0.9,0.002,0.01,0.7564935064935063
0.9,0.002,0.04,0.8265433196940046
0.9,0.002,0.03,0.7998576765700054
0.9,0.001,0.02,0.7599573257467994
0.9,0.001,0.01,0.7863247863247864
0.9,0.001,0.04,0.7599573257467994
0.9,0.001,0.03,0.7589285714285714
0.7,0.004,0.02,0.7733333333333333
0.7,0.004,0.01,0.7847919655667145
0.7,0.004,0.04,0.7922159167076277
0.7,0.004,0.03,0.79288227695871
0.7,0.003,0.02,0.8128008557675166
0.7,0.003,0.01,0.7398959583833533
0.7,0.003,0.04,0.8263888888888888
0.7,0.003,0.03,0.7536945812807881
0.7,0.002,0.02,0.7865148550080057
0.7,0.002,0.01,0.7302643409458731
0.7,0.002,0.04,0.7991071428571428
0.7,0.002,0.03,0.7732930298719771
0.7,0.001,0.02,0.7519996425220072
0.7,0.001,0.01,0.853307254623044
0.7,0.001,0.04,0.8266358463726885
0.7,0.001,0.03,0.7795198432141107
0.5,0.002,0.02,0.753234627184207
0.5,0.004,0.04,0.7982424677187947
0.5,0.004,0.03,0.7731720334460062
0.5,0.003,0.02,0.7996794871794872
0.5,0.003,0.01,0.7852925389157274
0.5,0.003,0.04,0.8199919996444286
0.5,0.003,0.03,0.846496106785317
0.5,0.004,0.01,0.7729700854700854
0.5,0.002,0.01,0.7996794871794872
0.5,0.002,0.04,0.7266545179785768
0.5,0.002,0.03,0.8263888888888888
0.5,0.001,0.02,0.8066580736921641
0.5,0.001,0.01,0.7733333333333333
0.5,0.001,0.04,0.7998576765700054
0.5,0.001,0.03,0.765823631740934
0.5,0.004,0.02,0.8196071444479087
